Graph NumThread Time
graphs/rmat-b.mtx 1 2.12051
graphs/rmat-b.mtx 2 1.25814
graphs/rmat-b.mtx 4 0.873778
graphs/rmat-b.mtx 8 0.525069
graphs/rmat-b.mtx 16 0.379404
graphs/rmat-b.mtx 1 1.9314
graphs/rmat-b.mtx 2 1.37112
graphs/rmat-b.mtx 4 0.776636
graphs/rmat-b.mtx 8 0.612687
graphs/rmat-b.mtx 16 0.469238
graphs/rmat-b.mtx 1 1.96113
graphs/rmat-b.mtx 2 1.30051
graphs/rmat-b.mtx 4 0.786995
graphs/rmat-b.mtx 8 0.547613
graphs/rmat-b.mtx 16 0.474591
graphs/rmat-b.mtx 1 1.92588
graphs/rmat-b.mtx 2 1.38859
graphs/rmat-b.mtx 4 0.914877
graphs/rmat-b.mtx 8 0.544217
graphs/rmat-b.mtx 16 0.505377
graphs/rmat-b.mtx 1 1.96393
graphs/rmat-b.mtx 2 1.40497
graphs/rmat-b.mtx 4 0.954976
graphs/rmat-b.mtx 8 0.668598
graphs/rmat-b.mtx 16 0.435842
graphs/rmat-b.mtx 1 1.96087
graphs/rmat-b.mtx 2 1.47554
graphs/rmat-b.mtx 4 0.861207
graphs/rmat-b.mtx 8 0.557196
graphs/rmat-b.mtx 16 0.487089
graphs/rmat-b.mtx 1 1.92069
graphs/rmat-b.mtx 2 1.31648
graphs/rmat-b.mtx 4 0.899298
graphs/rmat-b.mtx 8 0.535807
graphs/rmat-b.mtx 16 0.487386
graphs/rmat-b.mtx 1 1.92181
graphs/rmat-b.mtx 2 1.23904
graphs/rmat-b.mtx 4 0.751687
graphs/rmat-b.mtx 8 0.592874
graphs/rmat-b.mtx 16 0.4967
graphs/rmat-b.mtx 1 1.92578
graphs/rmat-b.mtx 2 1.28905
graphs/rmat-b.mtx 4 0.921214
graphs/rmat-b.mtx 8 0.636855
graphs/rmat-b.mtx 16 0.51032
graphs/rmat-b.mtx 1 1.92827
graphs/rmat-b.mtx 2 1.3811
graphs/rmat-b.mtx 4 0.90883
graphs/rmat-b.mtx 8 0.578095
graphs/rmat-b.mtx 16 0.411588
graphs/rmat-b.mtx 1 2.20833
graphs/rmat-b.mtx 2 1.29809
graphs/rmat-b.mtx 4 0.856691
graphs/rmat-b.mtx 8 0.536471
graphs/rmat-b.mtx 16 0.445847
graphs/rmat-b.mtx 1 1.92744
graphs/rmat-b.mtx 2 1.42252
graphs/rmat-b.mtx 4 0.878639
graphs/rmat-b.mtx 8 0.542667
graphs/rmat-b.mtx 16 0.448407
graphs/rmat-b.mtx 1 1.94068
graphs/rmat-b.mtx 2 1.39796
graphs/rmat-b.mtx 4 0.821319
graphs/rmat-b.mtx 8 0.532441
graphs/rmat-b.mtx 16 0.414156
graphs/rmat-b.mtx 1 1.93354
graphs/rmat-b.mtx 2 1.20629
graphs/rmat-b.mtx 4 0.939034
graphs/rmat-b.mtx 8 0.56657
graphs/rmat-b.mtx 16 0.522294
graphs/rmat-b.mtx 1 1.96365
graphs/rmat-b.mtx 2 1.38603
graphs/rmat-b.mtx 4 0.925435
graphs/rmat-b.mtx 8 0.546058
graphs/rmat-b.mtx 16 0.452679
graphs/rmat-b.mtx 1 1.94309
